reservation_id,booking_lead_time_hours,hour_of_day,day_of_week,is_weekend,is_prime_time,month_of_year,days_until_reservation,is_repeat_customer,customer_visit_count,customer_no_show_rate,customer_avg_party_size,days_since_last_visit,customer_lifetime_value,party_size,party_size_category,is_large_party,has_special_requests,confirmation_sent,confirmation_clicked,hours_since_confirmation_sent,historical_no_show_rate_for_day,historical_no_show_rate_for_time,occupancy_rate_for_slot,no_show
RES-20250701-5951,1317,19,3,0,1,1,54,0,0,0.15,2.4,999,0,1,0,0,0,1,1,753,0.12,0.12,0.84,0
RES-20250907-6919,292,18,3,0,1,6,12,1,11,0.038,4.5,141,539.41,5,2,0,0,1,0,95,0.12,0.12,0.81,0
RES-20250626-5002,1283,20,5,1,1,5,53,1,4,0,3.4,25,1110.88,4,1,0,0,1,0,1034,0.16,0.12,0.91,0
RES-20251011-5508,426,18,6,1,1,6,17,0,0,0.15,2.2,999,0,1,0,0,0,1,1,344,0.17,0.12,0.9,0
RES-20251004-2511,204,20,2,0,1,6,8,0,0,0.15,2.2,999,0,6,2,1,0,1,1,40,0.11,0.12,0.89,0
RES-20250603-2881,1372,22,6,1,0,1,57,1,1,0.009,4.4,147,939.77,8,2,1,0,1,0,1290,0.17,0.22,0.61,0
RES-20250905-1223,562,13,4,0,0,8,23,0,0,0.15,3.2,999,0,4,1,0,1,1,0,369,0.14,0.14,0.63,0
RES-20250720-9340,1018,21,2,0,1,12,42,0,0,0.15,2.7,999,0,4,1,0,0,1,1,397,0.11,0.22,0.91,1
RES-20250721-3371,925,13,5,1,0,9,38,0,0,0.15,2.1,999,0,4,1,0,0,1,1,551,0.16,0.14,0.75,0
RES-20250704-7354,510,11,6,1,0,1,21,1,10,0.069,2.4,138,1940.84,3,1,0,0,1,0,167,0.17,0.14,0.56,0
RES-20250710-6757,177,11,0,1,0,7,7,0,0,0.15,3.8,999,0,2,0,0,1,1,0,67,0.18,0.14,0.51,0
RES-20250625-3260,148,18,6,1,1,3,6,0,0,0.15,4.3,999,0,4,1,0,0,1,0,141,0.17,0.12,0.82,0
RES-20250620-2025,790,19,3,0,1,9,32,1,13,0.134,2.4,108,1304.12,2,0,0,0,1,0,295,0.12,0.12,0.88,0
RES-20250627-7658,413,20,5,1,1,8,17,0,0,0.15,2.2,999,0,4,1,0,0,1,1,252,0.16,0.12,0.8,0
RES-20250806-8722,54,20,4,0,1,11,2,0,0,0.15,3,999,0,4,1,0,0,1,1,41,0.14,0.12,0.9,0
RES-20250804-6436,334,19,5,1,1,4,13,0,0,0.15,4.3,999,0,5,2,0,0,1,1,84,0.16,0.12,0.82,0
RES-20250822-5017,394,21,6,1,1,11,16,0,0,0.15,2.6,999,0,5,2,0,0,1,0,375,0.17,0.22,0.81,0
RES-20250731-5250,912,21,6,1,1,4,38,1,15,0.148,4.4,77,1779.34,6,2,1,1,1,0,148,0.17,0.22,0.95,0
RES-20251006-8638,380,11,3,0,0,5,15,0,0,0.15,3.8,999,0,1,0,0,0,1,1,337,0.12,0.14,0.61,1
RES-20250827-3162,684,20,0,1,1,5,28,0,0,0.15,3.6,999,0,1,0,0,0,1,0,450,0.18,0.12,0.82,1
RES-20250924-7271,1234,20,5,1,1,5,51,1,4,0.008,2.9,11,1182.11,1,0,0,0,1,1,979,0.16,0.12,0.82,1
RES-20250626-6358,459,21,0,1,1,5,19,1,1,0.033,2.5,135,1901.9,8,2,1,0,1,0,384,0.18,0.22,0.81,0
RES-20251002-8270,133,21,0,1,1,7,5,0,0,0.15,3.8,999,0,3,1,0,0,1,0,80,0.18,0.22,0.84,0
RES-20250623-3609,847,11,1,0,0,7,35,0,0,0.15,2.5,999,0,2,0,0,0,0,0,0,0.12,0.14,0.58,0
RES-20250919-5236,620,12,0,1,0,10,25,0,0,0.15,3.7,999,0,4,1,0,0,1,0,50,0.18,0.14,0.74,0
RES-20250926-4141,1070,20,3,0,1,1,44,1,4,0.094,3.4,78,1902.47,2,0,0,1,1,0,588,0.12,0.12,0.9,0
RES-20251012-7692,290,19,1,0,1,2,12,1,4,0.008,4.3,65,1504.58,1,0,0,1,1,1,42,0.12,0.12,0.82,0
RES-20250809-9021,1307,19,3,0,1,11,54,1,6,0.086,4.2,105,871.39,4,1,0,1,1,0,597,0.12,0.12,0.8,0
RES-20250501-3490,1087,18,6,1,1,12,45,0,0,0.15,2.2,999,0,2,0,0,0,1,0,632,0.17,0.12,0.85,1
RES-20250526-4186,1182,11,3,0,0,7,49,0,0,0.15,3.6,999,0,5,2,0,0,1,1,654,0.12,0.14,0.71,0
RES-20250708-3829,570,20,0,1,1,4,23,1,3,0.04,2.1,58,1577.58,6,2,1,1,1,1,302,0.18,0.12,0.93,0
RES-20250511-4632,1460,18,5,1,1,9,60,1,15,0.06,3.2,80,215,4,1,0,0,1,0,981,0.16,0.12,0.93,0
RES-20251018-9160,424,11,1,0,0,6,17,0,0,0.15,3.5,999,0,2,0,0,0,1,0,58,0.12,0.14,0.62,0
RES-20250612-3880,341,22,6,1,0,6,14,0,0,0.15,4.2,999,0,2,0,0,0,1,0,141,0.17,0.22,0.7,1
RES-20250821-4272,209,22,3,0,0,5,8,0,0,0.15,2.1,999,0,2,0,0,0,1,1,196,0.12,0.22,0.56,0
RES-20250901-6190,476,11,0,1,0,2,19,0,0,0.15,4.4,999,0,6,2,1,0,0,0,0,0.18,0.14,0.68,1
RES-20250530-9618,985,13,0,1,0,10,41,0,0,0.15,2.6,999,0,2,0,0,0,1,0,607,0.18,0.14,0.58,0
RES-20250607-5908,1462,12,4,0,0,12,60,0,0,0.15,3.9,999,0,2,0,0,1,0,0,0,0.14,0.14,0.59,0
RES-20250817-2263,1440,21,3,0,1,5,60,0,0,0.15,2.6,999,0,3,1,0,0,1,0,672,0.12,0.22,0.89,0
RES-20250612-1139,544,20,5,1,1,9,22,0,0,0.15,3.5,999,0,3,1,0,1,1,0,305,0.16,0.12,0.85,0
RES-20250913-3933,611,22,6,1,0,9,25,0,0,0.15,3,999,0,8,2,1,1,1,1,167,0.17,0.22,0.71,0
RES-20251007-9613,184,18,2,0,1,3,7,0,0,0.15,2.5,999,0,3,1,0,0,1,1,119,0.11,0.12,0.94,0
RES-20250807-9381,1422,11,0,1,0,12,59,1,12,0.074,3.7,94,1139.06,5,2,0,0,0,0,0,0.18,0.14,0.73,0
RES-20250914-7457,1321,13,6,1,0,4,55,1,12,0.064,3.5,11,1317.71,3,1,0,1,1,0,126,0.17,0.14,0.51,0
RES-20250911-2247,1431,22,5,1,0,12,59,0,0,0.15,4,999,0,2,0,0,0,1,0,258,0.16,0.22,0.5,0
RES-20250503-6123,506,19,2,0,1,6,21,0,0,0.15,4.1,999,0,6,2,1,1,1,0,341,0.11,0.12,0.91,0
RES-20250816-7337,345,11,0,1,0,9,14,0,0,0.15,3.2,999,0,5,2,0,0,1,1,161,0.18,0.14,0.7,0
RES-20250609-8160,450,22,6,1,0,3,18,0,0,0.15,4.3,999,0,4,1,0,1,1,1,212,0.17,0.22,0.57,0
RES-20250930-3868,817,19,5,1,1,7,34,0,0,0.15,2.1,999,0,2,0,0,0,1,0,574,0.16,0.12,0.81,1
RES-20250524-5653,728,12,2,0,0,8,30,1,7,0.08,3.8,135,1702.16,2,0,0,1,1,0,290,0.11,0.14,0.74,0
RES-20250826-4351,1213,21,6,1,1,5,50,1,15,0.158,3.1,16,1630.45,1,0,0,1,0,0,0,0.17,0.22,0.84,1
RES-20250711-8048,1077,12,6,1,0,1,44,0,0,0.15,2.6,999,0,2,0,0,0,1,0,473,0.17,0.14,0.72,0
RES-20250504-3995,1081,12,3,0,0,3,45,1,15,0.049,4.4,146,386.56,2,0,0,0,1,0,669,0.12,0.14,0.66,0
RES-20250513-7687,107,18,6,1,1,6,4,0,0,0.15,4.1,999,0,1,0,0,1,1,0,54,0.17,0.12,0.85,0
RES-20251010-5749,970,19,5,1,1,3,40,0,0,0.15,2.2,999,0,4,1,0,0,1,1,263,0.16,0.12,0.87,0
RES-20250621-3985,226,11,6,1,0,8,9,1,4,0.035,2.8,139,448.17,2,0,0,0,1,0,171,0.17,0.14,0.73,0
RES-20250505-7023,501,18,0,1,1,9,20,0,0,0.15,3.7,999,0,8,2,1,1,0,0,0,0.18,0.12,0.81,0
RES-20250824-8995,316,22,5,1,0,10,13,1,13,0.051,3.7,47,272.48,8,2,1,0,1,0,181,0.16,0.22,0.54,0
RES-20250703-6164,1112,11,1,0,0,10,46,1,14,0.147,2.9,125,350.62,6,2,1,0,1,1,563,0.12,0.14,0.57,1
RES-20250812-5331,372,19,0,1,1,5,15,1,10,0.224,2.4,108,923.56,4,1,0,0,1,0,175,0.18,0.12,0.84,0
RES-20250714-6248,1407,19,2,0,1,10,58,1,7,0.08,4.1,76,1758.86,8,2,1,0,0,0,0,0.11,0.12,0.84,1
RES-20251023-8181,375,13,2,0,0,2,15,0,0,0.15,4.3,999,0,5,2,0,0,1,0,298,0.11,0.14,0.54,0
RES-20250627-9999,539,13,2,0,0,1,22,1,11,0.232,2.2,120,1814.45,2,0,0,0,1,0,47,0.11,0.14,0.73,0
RES-20250626-7177,650,19,6,1,1,5,27,1,12,0.073,4.3,71,1243.65,2,0,0,0,1,1,481,0.17,0.12,0.82,0
RES-20250705-2785,562,22,2,0,0,5,23,1,8,0.026,4.3,117,608,2,0,0,1,1,1,91,0.11,0.22,0.52,0
RES-20250609-4065,246,20,2,0,1,1,10,1,5,0.239,2.3,136,204.35,3,1,0,0,1,0,92,0.11,0.12,0.86,1
RES-20250428-7777,1011,11,4,0,0,11,42,1,3,0.051,2.7,115,1928.43,5,2,0,0,1,0,724,0.14,0.14,0.58,0
RES-20250922-1172,341,21,2,0,1,7,14,1,3,0.069,3.4,155,884.91,6,2,1,1,1,0,228,0.11,0.22,0.94,0
RES-20250724-7325,522,13,0,1,0,5,21,1,12,0.052,2.4,151,312.11,2,0,0,0,1,1,499,0.18,0.14,0.61,0
RES-20251004-8551,1254,19,3,0,1,3,52,1,1,0.042,4.2,135,1102.88,4,1,0,0,1,0,805,0.12,0.12,0.86,0
RES-20250516-4814,551,20,6,1,1,11,22,0,0,0.15,2.3,999,0,6,2,1,1,1,0,107,0.17,0.12,0.81,1
RES-20251005-7170,1196,18,5,1,1,12,49,0,0,0.15,2.9,999,0,4,1,0,0,1,0,530,0.16,0.12,0.87,1
RES-20250603-6162,201,22,3,0,0,9,8,1,10,0.076,2.8,11,1854.49,2,0,0,0,1,1,188,0.12,0.22,0.67,0
RES-20250516-8536,1381,22,4,0,0,7,57,0,0,0.15,3.4,999,0,4,1,0,0,1,1,689,0.14,0.22,0.56,0
RES-20250805-3547,539,20,3,0,1,11,22,0,0,0.15,2.1,999,0,3,1,0,0,1,1,179,0.12,0.12,0.81,0
RES-20250924-8588,1060,12,1,0,0,7,44,0,0,0.15,4.3,999,0,4,1,0,0,1,0,520,0.12,0.14,0.67,0
RES-20250812-2802,405,18,2,0,1,9,16,1,9,0.04,4.3,54,881.76,4,1,0,1,1,0,173,0.11,0.12,0.83,0
RES-20250810-2368,1456,21,1,0,1,7,60,0,0,0.15,3.3,999,0,5,2,0,0,0,0,0,0.12,0.22,0.93,0
RES-20250705-1462,677,13,4,0,0,8,28,0,0,0.15,2.4,999,0,3,1,0,0,1,0,413,0.14,0.14,0.63,0
RES-20250926-2273,816,20,1,0,1,7,34,0,0,0.15,3.4,999,0,2,0,0,0,1,1,672,0.12,0.12,0.88,1
RES-20250725-2133,1078,18,2,0,1,7,44,0,0,0.15,3.7,999,0,2,0,0,0,1,0,436,0.11,0.12,0.9,1
RES-20250904-7704,426,21,6,1,1,3,17,1,14,0.078,2.3,87,366.84,5,2,0,0,1,0,84,0.17,0.22,0.85,1
RES-20250812-8798,894,20,0,1,1,3,37,0,0,0.15,3.5,999,0,2,0,0,0,0,0,0,0.18,0.12,0.9,0
RES-20250606-8742,1072,20,3,0,1,8,44,1,15,0.037,3,179,1694.42,4,1,0,0,1,0,345,0.12,0.12,0.95,0
RES-20250627-7024,441,21,6,1,1,4,18,0,0,0.15,4,999,0,8,2,1,0,1,0,138,0.17,0.22,0.94,1
RES-20251007-8779,180,21,3,0,1,6,7,0,0,0.15,2.1,999,0,5,2,0,0,1,1,77,0.12,0.22,0.83,0
RES-20250921-3690,879,18,6,1,1,12,36,0,0,0.15,2.5,999,0,5,2,0,0,1,0,771,0.17,0.12,0.9,0
RES-20250707-7728,402,12,0,1,0,12,16,0,0,0.15,3,999,0,2,0,0,1,1,1,35,0.18,0.14,0.67,1
RES-20250921-8007,682,18,4,0,1,11,28,1,3,0.07,3.6,80,1601.34,8,2,1,1,1,0,427,0.14,0.12,0.95,0
RES-20251021-3514,26,11,3,0,0,6,1,0,0,0.15,3.3,999,0,3,1,0,0,1,0,24,0.12,0.14,0.53,1
RES-20250611-7875,496,21,6,1,1,1,20,1,8,0.028,3.7,65,555.17,2,0,0,0,1,0,318,0.17,0.22,0.81,0
RES-20250614-6897,679,19,5,1,1,2,28,1,8,0.245,4,138,680.08,6,2,1,0,1,0,544,0.16,0.12,0.85,1
RES-20250730-9580,524,20,2,0,1,10,21,1,14,0.089,2.8,75,1824.27,6,2,1,0,1,0,497,0.11,0.12,0.92,0
RES-20250908-9592,1208,21,6,1,1,8,50,1,6,0.054,4.1,172,501.78,2,0,0,1,1,0,679,0.17,0.22,0.91,0
RES-20250730-4952,920,19,1,0,1,12,38,0,0,0.15,3.7,999,0,4,1,0,0,1,0,365,0.12,0.12,0.89,0
RES-20250925-5340,1282,21,1,0,1,10,53,1,8,0.193,2.8,140,1364.07,2,0,0,0,1,1,643,0.12,0.22,0.82,0
RES-20250912-1111,1089,21,4,0,1,5,45,0,0,0.15,3.3,999,0,6,2,1,0,1,0,448,0.14,0.22,0.84,1
RES-20250916-5924,799,21,1,0,1,7,33,1,7,0.297,3.2,107,1886.09,2,0,0,1,1,1,60,0.12,0.22,0.91,0
RES-20250510-5392,169,11,0,1,0,12,7,0,0,0.15,2.5,999,0,5,2,0,0,1,0,149,0.18,0.14,0.7,0
RES-20250724-6550,45,11,5,1,0,8,1,1,1,0.094,3.8,91,757.48,2,0,0,1,1,0,40,0.16,0.14,0.59,0
RES-20250619-8170,22,12,2,0,0,2,0,0,0,0.15,3.2,999,0,4,1,0,1,1,1,23,0.11,0.14,0.71,0
RES-20250504-3804,267,13,2,0,0,6,11,0,0,0.15,2.1,999,0,3,1,0,0,1,0,104,0.11,0.14,0.6,0
RES-20250527-8519,168,18,3,0,1,3,7,0,0,0.15,2.9,999,0,2,0,0,0,1,0,73,0.12,0.12,0.93,0
RES-20250501-2112,702,21,5,1,1,4,29,1,9,0.218,3.8,132,740.7,6,2,1,0,1,1,283,0.16,0.22,0.83,0
RES-20250630-7235,577,11,3,0,0,3,24,0,0,0.15,2.2,999,0,4,1,0,0,1,1,180,0.12,0.14,0.69,1
RES-20250612-4288,1151,22,6,1,0,9,47,1,15,0.05,2.6,134,984.02,2,0,0,1,1,0,390,0.17,0.22,0.74,0
RES-20250429-2341,634,21,3,0,1,5,26,0,0,0.15,3.9,999,0,1,0,0,0,1,1,74,0.12,0.22,0.91,0
RES-20250826-6081,728,22,5,1,0,1,30,0,0,0.15,2.9,999,0,3,1,0,0,1,0,709,0.16,0.22,0.68,0
RES-20250515-8719,1075,12,2,0,0,8,44,0,0,0.15,4.2,999,0,4,1,0,1,0,0,0,0.11,0.14,0.7,0
RES-20250608-1020,1316,20,1,0,1,6,54,1,11,0.053,4.4,42,566.2,2,0,0,0,1,0,628,0.12,0.12,0.85,0
RES-20250919-2159,559,21,5,1,1,9,23,0,0,0.15,4.5,999,0,4,1,0,0,1,0,515,0.16,0.22,0.81,0
RES-20250809-4804,1260,20,4,0,1,9,52,0,0,0.15,2.7,999,0,5,2,0,0,1,0,951,0.14,0.12,0.89,0
RES-20250701-2284,129,18,0,1,1,7,5,0,0,0.15,3.8,999,0,3,1,0,0,1,1,45,0.18,0.12,0.84,0
RES-20250503-5609,744,18,0,1,1,8,31,0,0,0.15,3.9,999,0,5,2,0,0,1,1,361,0.18,0.12,0.89,0
RES-20250824-9547,694,11,6,1,0,7,28,1,11,0.228,2.2,176,602.84,2,0,0,0,1,1,490,0.17,0.14,0.58,1
RES-20251016-5128,1457,21,1,0,1,11,60,0,0,0.15,4.4,999,0,5,2,0,1,1,0,1455,0.12,0.22,0.82,0
RES-20250530-7775,683,18,6,1,1,10,28,0,0,0.15,3.9,999,0,6,2,1,1,1,1,659,0.17,0.12,0.88,1
RES-20250920-6518,273,11,1,0,0,10,11,0,0,0.15,2.6,999,0,4,1,0,0,1,0,52,0.12,0.14,0.74,0
RES-20250818-8418,347,13,6,1,0,9,14,0,0,0.15,3.6,999,0,8,2,1,1,1,0,181,0.17,0.14,0.74,1
RES-20250719-9593,733,13,3,0,0,3,30,1,10,0.054,4,150,665.43,2,0,0,0,1,0,128,0.12,0.14,0.74,0
RES-20250703-9025,790,18,2,0,1,7,32,0,0,0.15,4.5,999,0,4,1,0,1,1,0,326,0.11,0.12,0.93,0
RES-20250930-5613,1445,13,2,0,0,3,60,0,0,0.15,3.6,999,0,2,0,0,1,1,1,1183,0.11,0.14,0.65,0
RES-20250502-4338,1116,11,0,1,0,7,46,1,3,0.093,2.4,117,552.04,8,2,1,0,1,0,1108,0.18,0.14,0.7,0
RES-20250927-3976,349,18,3,0,1,8,14,1,2,0.086,2.5,168,606.97,2,0,0,1,1,1,201,0.12,0.12,0.87,0
RES-20250621-6550,502,19,5,1,1,5,20,0,0,0.15,2,999,0,5,2,0,0,1,0,156,0.16,0.12,0.93,1
RES-20250616-1223,1452,22,5,1,0,10,60,0,0,0.15,4.2,999,0,2,0,0,1,1,0,768,0.16,0.22,0.64,0
RES-20250831-1634,1024,13,5,1,0,2,42,1,15,0.09,4.5,133,1172.29,5,2,0,0,0,0,0,0.16,0.14,0.71,0
RES-20250624-4863,726,19,0,1,1,9,30,0,0,0.15,3.5,999,0,4,1,0,0,1,1,367,0.18,0.12,0.87,0
RES-20250707-8141,78,12,0,1,0,9,3,0,0,0.15,3.2,999,0,2,0,0,1,1,1,26,0.18,0.14,0.62,0
RES-20250705-2657,1021,13,3,0,0,4,42,1,12,0.041,3.5,28,1256.07,8,2,1,0,1,0,926,0.12,0.14,0.52,0
RES-20250622-9225,450,11,1,0,0,9,18,1,12,0.058,3.7,57,345.63,4,1,0,1,1,1,196,0.12,0.14,0.71,0
RES-20250601-1543,332,19,4,0,1,10,13,0,0,0.15,4.1,999,0,2,0,0,1,1,0,52,0.14,0.12,0.92,0
RES-20251009-4650,569,19,4,0,1,9,23,0,0,0.15,2.8,999,0,3,1,0,1,1,1,419,0.14,0.12,0.82,0
RES-20251015-2568,643,13,4,0,0,3,26,0,0,0.15,2.2,999,0,2,0,0,1,1,0,419,0.14,0.14,0.61,0
RES-20250818-2162,571,13,4,0,0,1,23,1,3,0.029,4.5,94,1948.43,6,2,1,1,1,1,469,0.14,0.14,0.56,0
RES-20250706-9930,1257,21,1,0,1,3,52,0,0,0.15,2.2,999,0,2,0,0,0,1,0,1052,0.12,0.22,0.84,0
RES-20250509-7288,1082,12,6,1,0,6,45,0,0,0.15,2.6,999,0,2,0,0,0,1,0,909,0.17,0.14,0.51,1
RES-20250625-2683,373,13,1,0,0,2,15,0,0,0.15,2.2,999,0,5,2,0,0,1,0,78,0.12,0.14,0.68,0
RES-20250823-7834,1405,22,6,1,0,2,58,0,0,0.15,3.2,999,0,6,2,1,0,0,0,0,0.17,0.22,0.61,1
RES-20250914-6888,752,22,4,0,0,2,31,1,15,0.047,2.8,88,924.58,4,1,0,0,1,0,498,0.14,0.22,0.61,0
RES-20250912-3935,1304,12,6,1,0,8,54,1,15,0.011,3,16,177.15,5,2,0,1,1,0,565,0.17,0.14,0.66,0
RES-20250818-4770,1100,18,5,1,1,9,45,1,14,0.002,2.3,14,1534.51,2,0,0,0,1,0,763,0.16,0.12,0.9,0
RES-20250624-3783,1420,11,3,0,0,2,59,1,5,0.148,2.9,93,959.11,5,2,0,0,1,0,53,0.12,0.14,0.69,0
RES-20250810-9586,1066,20,3,0,1,11,44,1,12,0.047,3.9,43,1288.93,4,1,0,1,1,1,1026,0.12,0.12,0.93,0
RES-20250908-3869,753,18,0,1,1,8,31,1,10,0.21,2.8,132,797.43,3,1,0,1,1,1,407,0.18,0.12,0.84,0
RES-20250524-5878,230,20,6,1,1,2,9,1,1,0.128,3.2,13,452.24,2,0,0,0,1,0,63,0.17,0.12,0.92,1
RES-20250927-7838,264,22,0,1,0,10,11,0,0,0.15,3.3,999,0,8,2,1,1,0,0,0,0.18,0.22,0.53,1
RES-20251010-3896,765,13,4,0,0,4,31,1,1,0.158,2.5,83,653.14,2,0,0,0,1,1,726,0.14,0.14,0.63,0
RES-20250817-8910,932,13,4,0,0,7,38,0,0,0.15,2.6,999,0,4,1,0,0,1,1,805,0.14,0.14,0.53,0
RES-20250618-9855,347,12,6,1,0,9,14,0,0,0.15,3.3,999,0,4,1,0,1,1,0,310,0.17,0.14,0.66,0
RES-20250808-9960,974,20,3,0,1,3,40,1,1,0.046,3.2,24,899.53,8,2,1,0,1,1,259,0.12,0.12,0.91,0
RES-20250602-7628,619,13,0,1,0,8,25,0,0,0.15,3.1,999,0,2,0,0,0,1,1,179,0.18,0.14,0.72,0
RES-20250531-1724,79,22,0,1,0,7,3,1,12,0.021,2.3,161,1043.62,4,1,0,1,1,1,57,0.18,0.22,0.66,0
RES-20250811-6049,974,12,3,0,0,5,40,0,0,0.15,4.4,999,0,8,2,1,0,1,0,357,0.12,0.14,0.69,1
RES-20250824-6806,83,20,3,0,1,4,3,1,1,0.225,3.1,157,1171.78,2,0,0,0,1,0,34,0.12,0.12,0.84,0
RES-20251009-7891,568,20,3,0,1,8,23,0,0,0.15,4.2,999,0,1,0,0,0,0,0,0,0.12,0.12,0.81,1
RES-20250703-6203,217,21,3,0,1,3,9,1,4,0.076,3.5,163,346.92,4,1,0,1,1,0,178,0.12,0.22,0.9,0
RES-20250521-1866,625,19,0,1,1,3,26,1,3,0.069,4.5,48,1959.63,3,1,0,0,0,0,0,0.18,0.12,0.91,0
RES-20250814-8753,1179,19,1,0,1,8,49,0,0,0.15,3.5,999,0,2,0,0,0,1,0,979,0.12,0.12,0.92,0
RES-20250611-4564,916,19,1,0,1,4,38,0,0,0.15,4.2,999,0,8,2,1,0,1,1,653,0.12,0.12,0.91,0
RES-20250814-7989,431,20,6,1,1,2,17,0,0,0.15,2.5,999,0,8,2,1,1,1,1,215,0.17,0.12,0.82,0
RES-20250727-5312,985,13,4,0,0,11,41,0,0,0.15,2.9,999,0,1,0,0,0,1,0,434,0.14,0.14,0.73,0
RES-20250626-5414,857,13,5,1,0,8,35,0,0,0.15,3.2,999,0,8,2,1,0,1,0,619,0.16,0.14,0.61,1
RES-20250606-3751,670,13,2,0,0,2,27,0,0,0.15,2.8,999,0,4,1,0,0,1,0,124,0.11,0.14,0.71,0
RES-20250715-5840,1206,22,0,1,0,11,50,1,7,0.264,4.4,64,1248.55,2,0,0,0,1,0,977,0.18,0.22,0.67,0
RES-20250719-4991,444,18,3,0,1,11,18,0,0,0.15,2.8,999,0,5,2,0,0,1,1,370,0.12,0.12,0.84,0
RES-20250618-9432,249,19,1,0,1,6,10,1,2,0.125,3.3,133,285.31,2,0,0,0,1,0,100,0.12,0.12,0.82,0
RES-20250628-2220,1151,12,2,0,0,9,47,1,15,0.046,2.1,120,655.96,4,1,0,0,1,1,752,0.11,0.14,0.62,0
RES-20250826-2285,808,18,6,1,1,7,33,1,13,0.128,4.5,21,202.12,3,1,0,1,1,1,576,0.17,0.12,0.81,0
RES-20250620-8011,521,22,5,1,0,11,21,0,0,0.15,4.3,999,0,3,1,0,0,1,1,352,0.16,0.22,0.54,0
RES-20250716-9353,828,19,4,0,1,5,34,1,3,0.046,3.3,173,754.33,2,0,0,0,1,0,723,0.14,0.12,0.84,0
RES-20250429-5055,989,18,5,1,1,2,41,0,0,0.15,2.9,999,0,3,1,0,0,0,0,0,0.16,0.12,0.81,1
RES-20250711-1478,68,20,6,1,1,3,2,1,5,0.094,4.4,145,1338.94,4,1,0,0,1,1,24,0.17,0.12,0.84,0
RES-20250625-8263,285,22,3,0,0,1,11,1,14,0.084,4,139,1182.5,4,1,0,0,1,0,33,0.12,0.22,0.5,0
RES-20250527-8401,208,13,2,0,0,7,8,0,0,0.15,2.4,999,0,8,2,1,1,1,1,193,0.11,0.14,0.66,0
RES-20250929-6138,378,19,1,0,1,8,15,0,0,0.15,3.6,999,0,8,2,1,0,1,1,138,0.12,0.12,0.84,0
RES-20251016-2251,1255,19,5,1,1,7,52,0,0,0.15,3.9,999,0,2,0,0,0,1,1,296,0.16,0.12,0.88,0
RES-20250728-8331,1279,18,5,1,1,12,53,1,10,0.08,2.5,67,1389.41,2,0,0,0,1,0,866,0.16,0.12,0.94,0
RES-20250619-1478,1263,21,4,0,1,9,52,0,0,0.15,4.3,999,0,1,0,0,0,1,0,1082,0.14,0.22,0.95,0
RES-20250510-8480,1063,20,4,0,1,5,44,0,0,0.15,3.3,999,0,2,0,0,0,1,0,261,0.14,0.12,0.86,0
RES-20250719-8741,94,21,2,0,1,5,3,0,0,0.15,2.1,999,0,6,2,1,0,1,0,57,0.11,0.22,0.91,0
RES-20250728-4838,120,19,6,1,1,2,5,0,0,0.15,3.5,999,0,8,2,1,0,1,0,60,0.17,0.12,0.93,1
RES-20250626-8042,600,21,0,1,1,12,25,1,15,0.067,2.4,170,151.01,2,0,0,0,1,1,484,0.18,0.22,0.92,0
RES-20250504-2621,862,21,2,0,1,9,35,1,7,0.191,4.3,155,103.79,1,0,0,0,1,1,455,0.11,0.22,0.93,0
